questionário	questionnaire
de	of
capacidades	abilities
e	and
dificuldades	difficulties
relado	parent
pai	father
para	to
adulto	adult
instruções	instruction
responda	answer
a	to
todo	all
o	the
pergunta	question
bom	good
maneira	way
possível	possible
mesmo	same
que	that
você	you
não	no
ter	have
certeza	sure
absoluto	absolutely
ou	or
se	if
perguntar	ask
ele	he
parecer	seem
estranho	strange
dê	press
seu	your
resposta	answer
com	with
base	base
comportamento	behavior
último	last
seis	six
mês	month
ó	o
consideração	considerate
sentimento	feeling
outro	other
pessoa	people
ser	be
inquieto	restless
hiperativo	hyperactive
dificuldade	difficulty
ficar	be
sentar	sit
por	for
muito	very
tempo	time
muitas	many
vez	time
queixa	complain
dor	stomachache
cabeça	head
barriga	nausea
enjoo	nausea
compartilhar	share
exemplo	example
compartilha	willing
comir	food
bebida	drink
frequentemente	often
acesso	tantrum
raiva	anger
prefere	prefers
sozinha	alone
companhia	company
geralmente	usually
aceitar	accept
fazer	do
querer	want
preocupação	concern
preocupado	worried
tudo	everything
atencioso	considerate
alguém	someone
magoar	hurt
aflito	distressed
sentir	feel
mal	bad
estar	be
sempre	always
agitar	agitated
balançar	swinge
perna	leg
mexer	move
mão	hand
menos	less
um	a
amigo	friend
amiga	friend
briga	fight
intimidar	intimidate
triste	sad
desanimar	discourage
choroso	tearful
normalmente	usually
querido	like
facilmente	easily
perder	lose
concentração	concentration
inseguro	insecure
quando	when
algum	any
coisa	thing
primeira	first
confiança	confidence
si	itself
gentil	kind
criança	child
engano	cheat
mente	mind
incomodar	bother
sofrer	be
bullying	bully
oferecer	offer
ajudar	help
membro	member
família	family
colega	colleague
pensar	think
antes	before
rouba	steals
casa	home
escola	school
lugar	place
dar	give
melhor	well
mais	more
velho	old
medo	fear
completo	complete
tarefa	task
começar	start
achar	think
nome	name
jovem	young
emocional	emotional
pouco	little
bem	well
sim	yes
pequeno	small
definido	define
grave	serious
haver	have
quanto	how
este	these
existir	exist
mê	month
ano	year
aborrecer	annoy
nada	nothing
atrapalhar	hinder
situação	situation
abaixo	below
ela	she
próximo	next
ex	ex
parceiroa	partner
amizades	friendship
trabalho	work
estudo	study
atividade	activity
lazer	leisure
passeio	tour
esporte	sport
etc	etc
g	g
peso	weight
data	date
confidencial	confidential
aparecer	appear
dúvida	doubt
chame	call
psicóloga	psychologist
ir	will
sem	without
olhar	look
leia	read
atenção	attention
marque	mark
x	x
certo	certain
errar	wrong
apenas	only
opinião	opinion
conf	conf
respondeu	answered
recusa	refusal
motivo	reason
as	the
primeiras	first
perguntas	question
são	be
sobre	about
álcool	alcohol
alguma	have
na	na
vida	life
já	have
tomar	take
bebido	drink
como	as
cerveja	beer
vinho	wine
vodka	vodka
idade	age
primeiro	first
aplicar	apply
nunca	never
tomeir	take
nos	in
últimos	past
meses	months
frequência	often
uma	once
dois	two
mensalmente	monthly
semanalmente	weekly
diariamente	daily
quase	almost
porre	drunk
bêbedo	past
porrer	drunk
beber	drink
causar	cause
problema	problem
qual	what
consumo	consumption
alcoólico	alcoholics
vês	time
semana	week
dose	dose
consumir	consume
dia	day
típico	typical
considere	consider
lata	can
taça	glass
martelinho	mallet
destilar	distillate
garrafa	bottle
unidade	unit
alcoólica	alcohol
ocasião	occasion
pelo	by
próximas	next
cigarro	cigarette
substâncias	substances
fumar	smoke
palheiro	haystack
narguilé	hookah
charuto	cigar
mascar	chew
fumo	tobacco
fumeir	smoke
amigos	friend
usar	use
cola	glue
sapateiro	cobbler
tiner	or
cocaína	cocaine
maconha	marijuana
crack	crack
ecstasy	ecstasy
mdma	mdma
balar	bullet
ácido	acid
lsd	lsd
doce	sweet
anfetamina	amphetamine
speed	speed
ingerido	ingest
aspiradocheirado	snort
esteróides	anabolic
anabolizante	steroid
bomba	bomb
remédios	remedies
barato	high
prescrição	counter
tramal	medication
tilex	tilex
oxycotim	oxycotin
fentanil	fentanyl
lexotan	lexotan
valium	valium
lorax	lorax
rivotril	rivotril
emagrecer	weight
hipofagin	hypophagin
inibex	inibex
dualid	dualid
rebite	rivet
experimentar	try
dormir	sleep
uso	use
substância	substance
usei	use
nenhum	none
fora	out
controle	control
ideia	idea
maconho	marijuana
deixar	leave
ansioso	anxious
preocupar	worry
gostar	like
parar	stop
quão	how
difícil	difficult
desenvolvimento	development
sexual	sexual
meninas	girls
menstruou	menstre
grávida	pregnant
abortar	abortion
filho	son
vivo	live
favor	describe
número	number
quadrinho	box
contigo	you
agora	now
quadro	table
meninos	boys
engravidar	pregnant
menina	girl
aborto	abortion
ninguém	nobody
sexualidade	sexuality
esse	this
observer	look
figura	figure
acordo	accord
identificar	identify
cada	each
opção	option
sexo	sex
designar	assign
nascer	birth
dizer	say
respeito	about
nascemosqual	bear
nascimento	birth
mulher	woman
homem	man
identidade	identity
gênero	genre
perceber	realize
forma	way
reconhecessem	recognize
trans	tran
travesti	transvestite
especifique	specify
saber	know
orientação	guidance
referir	refer
atração	attraction
afetivo	affective
físico	physical
heterossexual	heterosexual
bissexual	bisexual
homossexual	homosexual
assexual	asexual
prática	practice
quem	who
marcar	mark
corressponder	correspond
mulheres	women
homens	men
travestis	transvestite
expressão	expression
nosso	our
aparência	appearance
nós	we
vestir	dress
arrumar	arrange
cabelo	hair
modo	way
agir	act
falar	talk
movimentamos	move
expressamos	express
expressar	express
totalmente	totally
feminino	female
grande	most
parte	part
andrógena	androgynous
masculino	male
relações	relationship
sexuais	sexual
relação	relation
teve	have
transar	sex
forçadoo	force
acontecer	happen
estressora	stressful
coisas	thing
podem	may
anos	year
comer	eat
dentro	within
roupa	clothe
sujo	dirty
rasgar	tear
mas	but
xingar	curse
incluir	include
familiar	family
palavra	word
burroa	stupid
idiotaa	stupid
estúpidoa	stupid
server	fit
gritar	yell
berrar	yell
apanhar	beat
seriamente	seriously
chegar	arrive
machucar	hurt
marca	brand
corpo	body
ameaçar	threaten
bater	hit
algo	something
tipo	type
fizesse	do
qualquer	any
questão	question
acima	above
conte	tell
comigo	myself
coorte	cohort
alto	high
risco	risk
agendamento	schedule
código	code
identificador	identifier
horário	schedule
fone	phone
res	res
do	young
responsável	responsible
celular	phone
endereço	address
bairro	neighborhood
entrevista	interview
psicólogo	psychologist
cpf	cpf
assinatura	signature
voltas	round
campo	field
comentários	comment
reavaliação	revaluation
psicólogos	psychologists
sair	leave
confira	check
está	be
levando	bring
material	material
apoio	support
dawba	dawba
protocolo	protocol
envelope	envelope
pardo	brown
estímulo	stimulus
bloco	block
corsi	corsi
computador	computer
testagem	testing
cognitivo	cognitive
identificação	identification
será	be
entrevistada	interviewed
fato	fact
mesma	same
foi	be
atrás	ago
deve	must
exatamente	exactly
grafado	write
escrito	on
certidão	certificate
escreva	write
letra	letter
maiúscula	letter
legível	legible
abreviações	abbreviation
acentos	accent
ç	ç
deixando	leave
quadrado	square
espaço	space
entre	between
segundo	second
sobrenomes	first
checagem	check
dados	datum
mãe	mother
biológico	biological
conforme	accord
desconhecer	unknown
onde	where
morar	live
contir	schedule
folha	sheet
realizar	perform
explicação	explanation
projeto	project
consentimento	consent
oi	oi
meu	my
eu	i
equipe	team
prevenção	prevention
acompanhar	follow
receber	receive
visita	visit
detalhar	detailed
hoje	today
complementação	complete
maioria	most
jogo	game
tentar	try
acertar	hit
máximo	maximum
puder	can
faremos	game
também	also
acerca	about
vir	come
sentindo	feel
termo	term
entregar	deliver
autorização	authorization
informação	information
importante	important
valor	amount
r	r
após	after
concluir	complete
fase	phase
participante	participant
neuroimagem	neuroimaging
exame	exam
imagem	image
psico	psycho
peça	ask
assinar	sign
vias	of
dos	of
tcles	copy
termos	terms
livre	free
esclarecido	clarified
entrevistador	interviewer
assine	sign
tcle	icf
assinado	signed
pais	parent
assentir	nod
participação	participation
portanto	so
necessário	necessary
ler	read
inteiro	whole
novamente	again
transtornos	disorders
psiquiátricos	psychiatric
infância	childhood
adolescência	adolescence
pesquisadores	researcher
responsáveis	responsible
prof	prof
dr	dr
gisele	gisele
gus	gus
manfro	manfro
luis	luís
augusto	augustus
paim	paim
rohde	rohde
convidar	invite
participar	participate
isso	this
lhe	he
emoção	emotion
ansiedade	anxiety
depressão	depression
lidar	deal
reavaliar	reevaluate
oa	oa
sra	mrs
pesquisa	research
der	der
participe	participate
pesquisador	researcher
treinar	train
aproximadamente	approximately
hora	hour
série	series
teste	test
funcionamento	operation
psicológico	psychological
avaliação	assessment
alteração	change
capacidade	ability
simples	simple
botão	button
rápido	fast
durar	last
cerca	about
semelhante	similar
àquelo	those
realização	realization
contatar	contact
selecionado	select
ressonância	mri
magnética	magnetic
rm	rm
método	method
diagnóstico	diagnosis
utilizar	use
radiação	radiation
permitir	allow
obter	get
definição	definition
órgão	organ
caso	otherwise
cérebro	brain
mesa	table
instrução	instruction
permanecer	stay
imóvel	immobile
enquanto	while
campainha	bell
contato	contact
desconforto	discomfort
indolor	painless
som	sound
emitir	issue
máquina	machine
duração	duration
minuto	minute
riscos	risks
inconveniências	inconveniences
conclusão	conclusion
possuir	have
ear	or
inconveniência	inconvenience
poder	can
cansado	tired
preenchimento	fill
constrangir	constrain
responder	answer
próprio	own
pois	because
conteúdo	content
envolver	involve
desagradável	unpleasant
minimizar	minimize
efeito	effect
avaliador	evaluator
curto	short
benefícios	benefit
benefício	benefit
direto	straight
indivíduo	individual
possibilidade	possibility
precoce	precocious
psiquiátrico	psychiatric
adequadamente	properly
informar	inform
encaminhar	refer
rede	network
saúde	health
tratamento	treatment
avançar	advance
entendimento	understanding
sigilo	confidential
privacidade	privacy
produzir	produce
mantida	keep
local	place
seguro	safe
codificar	encode
só	only
pessoal	personal
diretamente	directly
publicação	publication
científico	scientific
didático	didactic
despesas	expense
compensações	compensation
despesa	expense
ressarcer	reimburse
despender	spend
durante	during
entrevisto	interview
suficientemente	enough
li	read
descrever	describe
ficaram	stay
claro	clear
propósito	purpose
procedimento	procedure
garantia	guarantee
confidencialidade	confidentiality
esclarecimento	clarification
permanente	permanent
isento	exempt
encaminhamento	forward
voluntariamente	voluntarily
retirar	withdraw
momento	moment
penalidades	penalty
prejuízo	loss
perda	loss
adquirir	acquire
atendimento	care
serviço	service
direito	right
comitê	committee
ética	ethics
hospital	hospital
clínicas	clínicas
telefone	telephone
giovanni	giovanni
salum	salum
jr	jr
dra	dr
departamento	department
psiquiatria	psychiatry
medicina	medicine
legal	legal
universidade	university
federal	federal
rio	river
sul	south
porto	porto
alegre	alegre
através	through
sp	sp
inpd	inpd
testemunhar	witness
àquelas	those
selecionar	select
atualização	update
registro	registration
cursar	study
ensino	high
médio	school
abandonou	left
expulso	expel
formado	graduated
no	in
preso	arrested
fundação	fundação
continuar	continue
fizemos	do
sabe	know
estudar	study
atualmente	currently
lista	list
escolas	schools
custódio	custodio
mello	mello
francisco	francisco
viera	viera
caldas	caldas
josé	josé
patrocínio	patrocínio
eng	eng
ildo	ildo
meneghetti	meneghetti
almirante	admiral
bacelar	bacelar
japão	japan
eva	eva
carminatti	carminatti
cel	cel
aparício	aparício
borges	borges
álvaro	álvaro
amotta	amotta
silva	silva
odila	odila
gay	gay
fonseca	fonseca
brigadeiro	brigadier
lima	lima
antão	antão
faria	faria
mariz	mariz
barros	barros
itália	italy
dom	dom
pedro	pedro
raul	raul
pilla	pilla
dolores	dolores
alcaraz	alcaraz
diogo	diogo
souza	souza
julio	julio
brunelli	brunelli
mons	mon
leopoldo	leopoldo
hoff	hoff
edgar	edgar
luiz	luiz
schneider	schneider
loureiro	loureiro
paulo	paulo
adelina	adelina
issa	issa
ashcar	ashcar
nossa	our
aparecida	aparecida
alcides	alcides
gonçalves	gonçalve
oswaldo	oswaldo
walder	walder
profandré	profandré
dreyfuss	dreyfuss
pandiá	pandiá
calógeras	calógeras
annita	annita
atalla	atalla
voss	voss
antonio	antonio
castelar	castelar
franceschi	franceschi
humaitá	humaitá
arthur	arthur
sabóia	saboia
república	republic
paraguay	paraguay
astrogildo	astrogildo
roberto	roberto
mange	mange
brasil	brazil
rodrigues	rodrigue
alves	alve
caetano	caetano
campos	campos
presidente	president
roosevelt	roosevelt
calixto	calixto
aranha	aranha
deputado	deputy
rubens	rubens
amaral	amaral
carolina	carolina
augusta	augusta
costa	costa
galvão	galvão
samuel	samuel
klabin	klabin
daisy	daisy
fugiwara	fugiwara
silvio	silvio
braga	braga
marechal	marshal
floriano	floriano
solano	solano
trindade	trindade
henrique	henrique
henfil	henfil
tarsila	tarsila
jacques	jacques
maritain	maritain
terezinha	terezinha
medeiros	medeiros
profjulia	profjulia
collaço	collaço
frança	frança
valentim	valentim
melvin	melvin
jones	jones
visconde	viscount
itaúna	itaúna
mildre	mildre
biaggi	biaggi
turmasala	classsala
atual	current
turma	accord
sabenão	know
aplica	do
estágio	internship
remunerar	pay
emprego	job
temporário	temporary
fixo	steady
ddmmaaaar	mmmmmm
anotar	note
declaração	declaration
respondente	respondent
opções	option
cor	color
pele	skin
branca	white
negra	black
branco	white
negro	black
parda	brown
indígena	indigenous
asiática	asian
residência	residence
facebook	facebook
prosseguir	proceed
mínimo	minimum
telefones	phone
anotados	announced
contatos	contact
parentesco	kinship
seção	section
anote	down
aplicação	application
turno	shift
ocorrendo	occur
manhã	morning
tarde	afternoon
exata	exact
início	beginning
inicie	start
digitador	typist
digite	enter
etiqueta	label
net	net
lado	below
mostre	show
respondar	answer
item	item
falso	false
verdadeiro	true
basear	base
preocupo	about
consigar	can
lição	homework
mexo	move
esbarrar	bump
derrubar	knock
vontade	will
dividir	share
emprestar	borrow
caneta	pen
fico	get
bravo	angry
perco	lose
paciência	patience
sozinho	alone
obediente	obedient
pedir	ask
pareço	seem
brigo	fight
consigo	can
façer	do
chateado	upset
geral	general
nervoso	nervous
diferente	different
novo	new
acusar	accuse
mentir	mind
trapacear	cheat
perturbam	disturb
pé	foot
ofereço	offer
professor	teacher
pegar	take
sinto	feel
assusto	scare
terminar	finish
começo	start
prestar	pay
escala	scale
pensando	think
acabar	just
àpule	skip
página	page
seguinte	follow
separação	separation
continue	continue
mostrar	show
aprendizado	learning
escolar	school
atividades	activity
passeios	tours
esportes	sports
tornar	make
conviver	live
particularmente	particularly
ligar	connect
buscar	seek
segurança	safety
principalmente	primarily
ligadoo	attach
biológic	biological
adotivo	foster
b	b
madrasta	stepmother
substitutar	substitute
companheira	companion
padrasto	stepfather
substituto	substitute
companheiro	partner
f	f
outros	other
parente	relative
irmãoirmã	adult
babá	babysitter
cuidar	care
professores	teachers
j	j
assinalar	tick
pergunte	ask
contrário	otherwise
k	k
irmã	sister
pule	skip
social	social
ligadoa	attach
liste	list
até	to
daqui	from
chamar	call
ligação	liaison
separadoa	separate
criançasjovem	child
reage	react
comparadoo	compare
interessado	interested
rotina	routine
especialmente	especially
preocupadoa	worried
ponto	point
área	area
sdq	sdq
maior	great
igual	equal
então	then
comparar	compare
mau	bad
real	real
afastar	remove
sequestradoa	kidnap
levadoo	take
mortoa	kill
recusar	refuse
receio	fear
ruim	bad
incluar	include
razão	reason
sozinhoa	alone
quarto	room
noite	night
procura	look
pesadelo	nightmare
enjôo	you
separadoar	separate
idéia	idea
preocupadoo	worried
chorar	cry
crise	tantrum
birra	tantrum
desde	since
interferir	interfere
noa	we
ouvir	hear
isto	this
descreva	describe
levar	lead
qualidade	quality
relacionado	to
ajuda	help
diferença	difference
especificamente	specifically
rotineiro	routine
conta	bill
timidez	shyness
determinar	certain
conhecer	know
encontrar	find
festa	party
frente	front
discussão	argument
sala	classroom
aula	class
voz	voice
escrever	write
ataques	attacks
pânico	panic
agorafober	agoraphobia
eles	they
estáão	be
perto	close
presença	presence
alternativa	alternative
envolr	involve
junto	together
oportunidade	opportunity
intenso	intense
chave	key
estáao	be
somente	only
criançasadole	childrenadole
cente	hundred
adolescente	adolescent
conseguir	can
porque	because
embaraçoso	embarrassing
chamer	attention
fica	turns
vermelhoa	red
tremer	shake
vomitar	vomiting
precisa	need
correr	run
banheiro	bathroom
temer	fear
lá	there
prestes	about
nervosoa	nervous
aborrecidoa	upset
talvez	maybe
freqüênciar	often
assim	so
evitar	avoid
diário	diary
excessivo	excessive
irracional	irrational
fobia	phobia
aborreçar	annoy
sentido	feel
piores	bad
gravidade	severity
agorafobia	agoraphobia
passar	spend
ansiosaso	anxious
aparentemente	apparently
boba	silly
importância	importance
forte	strong
aparente	apparent
causa	of
repente	suddenly
agitadoar	agitated
ansiedadepânico	do
repentinamente	suddenly
elas	they
atingir	meet
pico	and
coração	heart
acelerar	racing
disparar	race
suar	sweat
tremores	tremors
sua	your
boca	mouth
seca	dry
respirar	breathe
engasgar	choke
sensação	feeling
peito	chest
estômago	stomach
virado	turn
tontura	dizziness
desmaio	faint
vazer	empty
redor	unique
irreal	unreal
ali	there
louco	crazy
desmaiar	pass
morrer	die
frio	cold
calor	heat
formigamento	tingle
paralisado	paralyze
multidões	crowd
lugares	place
público	public
viajar	travel
longe	away
evita	avoid
ataque	attack
diarreia	diarrhea
envergonhadoa	embarrassed
tiver	have
obsessões	obsessions
compulsões	compulsions
específico	specific
aprendizar	learn
famíler	family
pânicoagorafobio	panicagoraphobia
ambos	both
depender	depend
apresentar	present
evitação	avoidance
detalhe	detail
ocorrer	occur
gostaríamos	we
multidão	crowd
interfer	interfere
superstição	superstition
pisar	step
linha	line
calçada	sidewalk
seguir	follow
ritual	ritual
sorte	luck
prova	exam
objeto	object
traga	bring
esportivo	a
pareçar	seem
fixar	fixate
assunto	subject
particular	private
carro	car
conjunto	set
musical	musical
time	team
futebol	football
mania	quirk
além	addition
excessivamente	excessively
gruardar	glue
precisar	need
dever	should
digitar	type
regular	regular
plataforma	platform
repetidamente	repeatedly
precisasse	need
limpeza	cleaning
banho	bath
escovar	brush
dente	teeth
medida	measurement
sujeira	dirt
germe	germ
perigoso	dangerous
elétrico	electrical
gás	gas
tranco	lock
porta	door
forno	oven
repetir	repeat
várias	several
entrar	contact
tocar	touch
simétrica	symmetrical
organizado	organize
contar	count
azar	unlucky
obsessivamente	obsessively
capaz	able
tirar	take
reposta	answer
obcecadoa	obsessed
terrível	terrible
doença	illness
regra	rule
continuação	continuation
obsessão	obsession
amplo	comprehensive
separar	separate
implicação	implication
generalizada	generalized
presente	present
resistir	resist
neutro	neutral
aborrecem	annoy
gosto	taste
média	average
compulsão	compulsion
deleo	if
animal	animal
trovão	thunder
elaseles	they
diverso	various
específica	specific
pontuação	score
tão	so
outrosa	other
passado	past
fiz	do
magoei	hurt
perdoar	forgave
desastres	disasters
roubos	robbery
assalto	assault
incêndio	fire
população	population
mundial	world
guerra	war
futuro	future
mudar	change
namoradoa	girlfriend
manter	keep
amizade	friendship
morte	death
provocar	provoke
atormentar	torment
rua	street
controlar	control
coluna	column
tenso	tense
incapaz	unable
relaxar	relax
cansadoa	tired
concentrar	concentrate
irritável	irritable
tensão	tension
muscular	muscle
sono	sleep
adormecer	asleep
agitado	restless
insatisfatório	unsatisfactory
generalizado	generalized
gerar	create
tanto	much
tristeza	sadness
humor	mood
período	period
desanimadoa	discourage
infeliz	unhappy
chorosoa	tearful
houve	be
os	the
animadoo	excited
realmente	really
semanas	week
irritabilidade	irritability
irritadoa	irritated
costumar	usually
praticamente	practically
humoradoa	moody
irritadoo	angry
melhorar	improve
interesse	interest
prazer	pleasure
falta	lack
tristezar	sadness
energia	energy
cansadoo	tired
mudança	change
apetite	appetite
p	p
ganhar	gain
demais	too
agitadoa	restless
inquietoa	restless
desvalorizadoa	undervalue
culpadoa	guilty
claramente	clearly
suicídio	suicide
comunique	communicate
extrema	extreme
próprioa	own
nível	level
relevante	relevant
comente	comment
excesso	excess
culpa	guilt
esperança	hope
pensamento	thought
jeito	way
episódio	episode
baixo	low
desencadear	trigger
cima	up
eufórico	euphoric
invés	than
ajudaria	help
mudanças	rapid
rápir	rapid
exageradamente	overly
pra	euphoric
razoavelmente	fairly
estável	stable
mudam	change
rapidamente	quickly
definir	define
irritado	angry
definida	define
rápida	fast
pex	pex
imprevisível	unpredictable
evento	event
frequente	frequent
minutos	minute
horas	hour
eufóricoa	euphoric
eufóricoso	during
animado	excited
cheio	full
clínica	clinic
psicose	psychosis
normal	usual
ativo	active
consegue	can
barulhento	noisier
propenso	likely
gastar	spend
dinheiro	money
sensualizar	sensual
mudando	change
plano	plan
constantemente	constantly
conversa	conversation
excitável	excitable
meter	trouble
apuro	trouble
invadir	invade
conversar	talk
auto	self
confiante	confident
grandioso	grandiose
q	q
colocar	put
brincando	playing
rir	laugh
expansivo	outgoing
sociável	sociable
conversador	talkative
t	t
explosão	outburst
distraído	distract
v	v
w	w
mandão	boss
y	y
z	z
viu	saw
ouviu	hear
acreditar	believe
especial	special
fez	do
depois	after
arrepender	regret
profundamente	do
extremo	extreme
contasse	tell
todas	all
recomendação	recommendation
explore	explore
indicação	indication
descrição	description
detalhada	detailed
sintoma	symptom
utilize	use
pode	can
me	panic
disso	of
falando	tell
caracterize	characterize
frequencia	frequency
incômodo	how
sofrimento	suffering
probabilidade	likelihood
psicótico	psychotic
bruxario	witchcraft
macumba	macumba
sobrenatural	supernatural
incomoda	bother
incomodo	bother
bastante	quite
experiência	experience
relatada	report
verdadeiramente	truly
fugir	escape
normalidade	normality
improvável	unlikely
provável	likely
certamente	certainly
dúvidapsico	psychological
ao	below
objetivo	objective
investigar	investigate
lida	deal
suas	your
crenças	beliefs
crendices	beliefs
bruxaria	and
incomodam	annoy
atrapalham	disturb
revista	magazine
jornal	newspaper
filme	movie
tv	tv
preste	pay
sinais	sign
autoreferência	believe
seja	be
jornais	newspaper
televisão	television
falam	talk
investigação	investigation
refere	refer
delirios	delusion
pessoas	people
clones	clones
estão	be
disfarçadas	disguised
ainda	still
sentimentos	feeling
falsas	fake
dissimuladas	confused
perseguir	chase
delírios	delusion
persecutórios	delusion
mandar	send
mensagem	message
significado	meaning
percepções	perception
comunicação	communication
baseadas	base
fatos	fact
reais	real
entende	understand
recebendo	receive
intenção	intention
interlocutor	interlocutor
ás	sometimes
organizar	organize
contra	against
conspiração	conspiracy
complô	complo
destino	destine
delírio	delusion
grandeza	greatness
predestinada	predesigned
comunicar	communicate
telepática	delusion
aparelho	device
eletrônico	electronic
influenciar	influence
influencia	influence
externa	external
comando	command
interpretar	interpreting
olhando	look
prestando	to
verdade	truth
ficou	be
esvaziada	empty
tem	have
pensamentos	thought
roubar	steal
roubo	robbery
inserção	insertion
idéias	idea
próprios	own
colocados	put
transmissão	transmission
eco	echo
produzidos	produced
voltam	go
diferenciar	different
reverberação	reverberation
excessiva	excessive
leva	takes
pensandor	thinking
instante	time
sob	under
força	force
